form_type	cik	company_name	date_filed	file_name
F-9EF	4	4	4	4
F-N	287	287	287	287
F-N/A	17	17	17	17
F-X	2455	2455	2455	2455
F-X/A	157	157	157	157
FOCUSN	24500	24500	24500	24500
FOCUSN/A	844	844	844	844
FWP	109026	109026	109026	109026
G-405	48	48	48	48
G-405/A	2	2	2	2
G-405N	42	42	42	42
G-405N/A	1	1	1	1
G-FIN	17	17	17	17
G-FIN/A	205	205	205	205
G-FINW	13	13	13	13
IADB	4	4	4	4
ID-NEWCIK	1	1	1	1
IFC	1	1	1	1
IRANNOTICE	1932	1932	1932	1932
MA	749	749	749	749
MA-A	586	586	586	586
MA-I	5827	5827	5827	5827
MA-I/A	2692	2692	2692	2692
MA-W	87	87	87	87
MA/A	534	534	534	534
MSD	39	39	39	39
MSD/A	328	328	328	328
MSDCO	22	22	22	22
MSDW	71	71	71	71
N-1	1	1	1	1
N-1/A	28	28	28	28
N-14	2113	2113	2113	2113
N-14 8C	162	162	162	162
N-14 8C/A	203	203	203	203
N-14/A	1386	1386	1386	1386
N-14AE	431	431	431	431
N-14AE/A	87	87	87	87
N-14MEF	2	2	2	2
N-18F1	546	546	546	546
N-18F1/A	12	12	12	12
N-1A	825	825	825	825
N-1A/A	1365	1365	1365	1365
N-2	2206	2206	2206	2206
N-2/A	3535	3535	3535	3535
N-23C-1	183	183	183	183
N-23C-1/A	5	5	5	5
N-23C-2	1311	1311	1311	1311
N-23C-2/A	47	47	47	47
N-23C3A	1119	1119	1119	1119
N-23C3A/A	11	11	11	11
N-23C3B	207	207	207	207
N-23C3B/A	1	1	1	1
N-23C3C	3	3	3	3
N-23C3C/A	34	34	34	34
N-27D-1	16	16	16	16
N-2MEF	186	186	186	186
N-3	18	18	18	18
N-3/A	9	9	9	9
N-30B-2	5644	5644	5644	5644
N-30D	9941	9941	9941	9941
N-30D/A	156	156	156	156
N-4	1325	1325	1325	1325
N-4/A	1186	1186	1186	1186
N-5	4	4	4	4
N-5/A	4	4	4	4
N-54A	202	202	202	202
N-54A/A	4	4	4	4
N-54C	119	119	119	119
N-54C/A	2	2	2	2
N-6	559	559	559	559
N-6/A	403	403	403	403
N-6F	118	118	118	118
N-6F/A	58	58	58	58
N-8A	1930	1930	1930	1930
N-8A/A	328	328	328	328
N-8B-2	19	19	19	19
N-8B-2/A	68	68	68	68
N-8F	2490	2490	2490	2490
N-8F NTC	1162	1162	1162	1162
N-8F ORDR	1322	1322	1322	1322
N-8F/A	1135	1135	1135	1135
N-CR	37	37	37	37
N-CR/A	6	6	6	6
N-CSR	49036	49036	49036	49036
N-CSR/A	2567	2567	2567	2567
N-CSRS	41909	41909	41909	41909
N-CSRS/A	821	821	821	821
N-MFP	40270	40270	40270	40270
N-MFP/A	2221	2221	2221	2221
N-MFP1	3040	3040	3040	3040
N-MFP1/A	528	528	528	528
N-MFP2	935	935	935	935
N-MFP2/A	199	199	199	199
N-PX	40503	40503	40503	40503
N-PX/A	1642	1642	1642	1642
N-Q	79057	79057	79057	79057
N-Q/A	930	930	930	930
NO ACT	7725	7725	7725	7725
NRSRO-CE	12	12	12	12
NRSRO-CE/A	11	11	11	11
NRSRO-UPD	47	47	47	47
NSAR-A	41897	41897	41897	41897
NSAR-A/A	2355	2355	2355	2355
NSAR-AT	67	67	67	67
NSAR-AT/A	9	9	9	9
NSAR-B	41375	41375	41375	41375
NSAR-B/A	3899	3899	3899	3899
NSAR-BT	306	306	306	306
NSAR-BT/A	25	25	25	25
NSAR-U	11138	11138	11138	11138
NSAR-U/A	183	183	183	183
NT 10-D	7	7	7	7
NT 10-D/A	1	1	1	1
NT 10-K	26500	26500	26500	26500
NT 10-K/A	356	356	356	356
NT 10-Q	46044	46044	46044	46044
NT 10-Q/A	342	342	342	342
NT 11-K	921	921	921	921
NT 11-K/A	9	9	9	9
NT 15D2	3	3	3	3
NT 20-F	1176	1176	1176	1176
NT 20-F/A	19	19	19	19
NT N-MFP	235	235	235	235
NT N-MFP1	35	35	35	35
NT N-MFP2	10	10	10	10
